name,_className,level,price,bulk,id,actions,activationType,usage,sourceBook,desc,savingThrow,stages/0,maxDuration,stages/1,stages/2,stages/3,stages/4,traits/0,traits/1,traits/2,traits/3,traits/4,traits/5,traits/6,hide
Blue Dragonfly Poison,AlchemicalPoison,3,700,L,b3280570-b9ef-11ea-b3de-0242ac130004,1A,Interact,held in 1 hand,Bestiary,"Boggards brew a potent toxin made from blue dragonflies. Swampseers consume this mixture to awaken their divine powers, but the poison inspires crippling hallucinations in most other creatures.",DC 17 Fortitude,10 minutes,30 minutes,dazzled (10 minutes),dazzled and frightened 1 (10 minutes),frightened 1 and confused 1 (1 minute),,Uncommon,Alchemical,Consumable,Ingested,Poison,,,
Cytillesh Oil,AlchemicalPoison,3,1000,L,b32806b0-b9ef-11ea-b3de-0242ac130004,2A,Interact,held in 2 hands,,"This thick substance is distilled from the mind-robbing cytillesh fungus, though it lacks memory-altering capabilities.",DC 19 Fortitude,,4 rounds,1d10 poison damage (1 round),1d12 poison damage (1 round),2d10 poison damage (1 round),,Alchemical,Consumable,Injury,Poison,,,,
Graveroot,AlchemicalPoison,3,1000,L,b3280778-b9ef-11ea-b3de-0242ac130004,2A,Interact,held in 2 hands,,The opaque white sap from the graveroot shrub clouds the mind.,DC 19 Fortitude,,4 rounds,1d10 poison damage (1 round),1d12 poison damage and stupefied 1 (1 round),2d6 poison damage and stupefied 2 (1 round),,Alchemical,Consumable,Injury,Poison,,,,
Violet Venom,AlchemicalPoison,3,1200,L,b3280886-b9ef-11ea-b3de-0242ac130004,1A,Interact,held in 2 hands,Bestiary 2,"The delicate process of extracting violet venom from a violet fungus leaves it diluted at the best of times. Alchemists are still on the hunt for a truly pure, unadulterated version of this highly toxic poison.",DC 17 Fortitude,1 minute,6 rounds,1d6 poison plus enfeebled 1 (1 round),1d6 poison plus drained 1 (1 round),2d6 poison plus enfeebled 1 (1 round),,Alchemical,Consumable,Contact,Poison,,,,
Hunting Spider Venom,AlchemicalPoison,5,2500,L,b3280a16-b9ef-11ea-b3de-0242ac130004,2A,Interact,held in 2 hands,,"This venom erodes its target's defenses, aiding the spider in securing prey.",DC 21 Fortitude,,6 rounds,1d10 poison damage and flat-footed (1 round),"1d12 poison damage, clumsy 1, and flat-footed (1 round)","2d6 poison damage, clumsy 2, and flat-footed (1 round)",,Alchemical,Consumable,Injury,Poison,,,,
False Death,AlchemicalPoison,5,2500,L,b3280ae8-b9ef-11ea-b3de-0242ac130004,1A,Interact,held in 1 hand,Pathfinder #149: Against the Scarlet Triad,"Typically used to fake one's death, this poison swiftly causes the imbiber to lose consciousness and suppresses vital signs. A creature examining the unconscious target must succeed at a Medicine check against the imbiber's Deception DC + 4 to determine that the target is alive, and a critical success allows the examiner to determine that a toxin is causing the effect. The false death toxin has an extremely bitter taste (Perception DC 10 to detect), making it difficult to trick a creature into consuming the poison against its wishes.",DC 18 Fortitude,10 minutes,5 days,clumsy 2 (1 round),unconscious (1 hour),unconscious (1 day),,Uncommon,Alchemical,Consumable,Ingested,Poison,,,
Giant Scorpion Venom,AlchemicalPoison,6,4000,L,b3280bb0-b9ef-11ea-b3de-0242ac130004,2A,Interact,held in 2 hands,,Scorpion venom is excruciating and its effects are somewhat debilitating.,DC 22 Fortitude,,6 rounds,1d10 poison damage and enfeebled 1 (1 round),2d10 poison damage and enfeebled 1 (1 round),2d10 poison damage and enfeebled 2 (1 round),,Alchemical,Consumable,Injury,Poison,,,,
Giant Wasp Venom,AlchemicalPoison,7,5500,L,b3280cb4-b9ef-11ea-b3de-0242ac130004,2A,Interact,held in 2 hands,,Giant wasp venom interferes with a victim's movement.,DC 25 Fortitude,,6 rounds,2d6 poison damage and clumsy 1 (1 round),3d6 poison damage and clumsy 2 (1 round),4d6 poison and clumsy 2 (1 round),,Alchemical,Consumable,Injury,Poison,,,,
Malyass Root Paste,AlchemicalPoison,7,5500,L,b3280dd6-b9ef-11ea-b3de-0242ac130004,3A,Interact,held in 2 hands,,"Malyass root paste sees use to impede opponents in athletic competitions, in addition to espionage and tracking.",DC 26 Fortitude,1 minute,6 minutes,clumsy 1 and -10-foot status penalty to all Speeds (1 minute),clumsy 2 and -20-foot status penalty to all Speeds (1 minute),"clumsy 3, flat-footed, and -30-foot status penalty to all Speeds",,Alchemical,Consumable,Contact,Poison,,,,
Isolation Draught,AlchemicalPoison,7,5500,L,b3280ea8-b9ef-11ea-b3de-0242ac130004,1A,Interact,held in 1 hand,Pathfinder #149: Against the Scarlet Triad,"Derived from steeping toxic highland plum pits in refined grain alcohols, this clear tonic slowly shuts down the imbiber's senses.",DC 25 Fortitude,10 minutes,30 minutes,"dazzled, -3 to all Perception checks (1 minute)","dazzled, deafened, -5 to all Perception checks (1 minute)","blinded, deafened, -5 to all Perception checks (5 minutes)",,Uncommon,Alchemical,Consumable,Ingested,Poison,,,
Addlebrain,AlchemicalPoison,7,5800,L,b328101a-b9ef-11ea-b3de-0242ac130004,1A,Interact,held in 2 hands,Pathfinder #147: Tomorrow Must Burn,"Certain Scarlet Triad poisoners use toxins like addlebrain to keep captured prisoners docile and compliant for short periods of time until they can be properly shackled and imprisoned. Addlebrain is distilled from a hallucinogenic lichen that can often be found growing in the sewers below particularly large cities like Katapesh.

Once soaked in special reagents and then dried, a dose of addlebrain must be either lit with flame or tossed into a fire to activate, whereupon it unleashes a cloud of toxin as normal for an inhaled poison.",DC 25 Fortitude,1 minute,1 day,enfeebled 1 and stupefied 1 (10 minutes),enfeebled 2 and stupefied 2 (1 hour),"fatigued, enfeebled 4, and stupefied 4 (1 day)",,Rare,Alchemical,Consumable,Inhaled,Poison,,,
Nettleweed Residue,AlchemicalPoison,8,7500,L,b32810e2-b9ef-11ea-b3de-0242ac130004,1A,Interact,held in 2 hands,,Concentrated sap of stinging weeds makes an effective toxin.,DC 27 Fortitude,1 minute,6 minutes,8d6 poison damage (1 minute),10d6 poison damage (1 minute),13d6 poison damage (1 minute),,Alchemical,Consumable,Contact,Poison,,,,
Wyvern Poison,AlchemicalPoison,8,8000,L,b32811aa-b9ef-11ea-b3de-0242ac130004,2A,Interact,held in 2 hands,,"Properly harvested and preserved, the poison from a wyvern's sting is effective and direct.",DC 26 Fortitude,,6 rounds,5d6 poison damage (1 round),6d6 poison damage (1 round),8d6 poison damage (1 round),,Alchemical,Consumable,Injury,Poison,,,,
Lich Dust,AlchemicalPoison,9,11000,L,b3281420-b9ef-11ea-b3de-0242ac130004,1A,Interact,held in 1 hand,,Dust salvaged from the remains of a destroyed lich has paralytic properties that make it a valuable poison.,DC 28 Fortitude,10 minutes,6 minutes,fatigued (1 minute),5d6 poison damage and fatigued (1 minute),"5d6 poison damage, fatigued, and paralyzed (1 minute)",,Alchemical,Consumable,Ingested,Poison,,,,
Spider Root,AlchemicalPoison,9,11000,L,b328151a-b9ef-11ea-b3de-0242ac130004,1A,Interact,held in 2 hands,,"A paste made by mashing the fine, threadlike roots of a certain creeper vine, spider root renders a victim clumsy and maladroit.",DC 28 Fortitude,1 minute,6 minutes,8d6 poison damage and clumsy 1 (1 minute),9d6 poison damage and clumsy 2 (1 minute),10d6 poison damage and clumsy 3 (1 minute),,Alchemical,Consumable,Contact,Poison,,,,
Wolfsbane,AlchemicalPoison,10,15500,L,b32815e2-b9ef-11ea-b3de-0242ac130004,1A,Interact,held in 1 hand,,"Wolfsbane appears in folklore for its link to werecreatures. If you are afflicted with lycanthropy and survive Stage 3 of wolfsbane, you're immediately cured of the lycanthropy.",DC 30 Fortitude,10 minutes,6 minutes,12d6 poison damage (1 minute),16d6 poison damage (1 minute),20d6 poison damage (1 minute),,Alchemical,Consumable,Ingested,Poison,,,,
Shadow Essence,AlchemicalPoison,10,16000,L,b32816a0-b9ef-11ea-b3de-0242ac130004,2A,Interact,held in 2 hands,,"Distilled from the Plane of Shadow, this oily substance imposes tenebrous effects. The enfeebled condition from shadow essence lasts for 24 hours.",DC 29 Fortitude,,6 rounds,3d6 negative damage and 2d6 poison damage (1 round),"3d6 negative damage, 2d6 poison damage, and enfeebled 1 (1 round)","3d6 negative damage, 2d6 poison damage, and enfeebled 2 (1 round)",,Alchemical,Consumable,Injury,Negative,Poison,,,
Blightburn Resin,AlchemicalPoison,11,22500,L,b3281984-b9ef-11ea-b3de-0242ac130004,1A,Interact,held in 2 hands,,"This tacky, hardened sap is harvested from trees infected by fungal blights and exposed to open flames.",DC 31 Fortitude,1 minute,6 rounds,8d6 poison damage (1 round),10d6 poison damage (1 round),15d6 poison damage (1 round),,Alchemical,Consumable,Contact,Poison,,,,
Slumber Wine,AlchemicalPoison,12,32500,L,b3281a74-b9ef-11ea-b3de-0242ac130004,1A,Interact,held in 1 hand,,"Slumber wine sees its greatest use in games of intrigue, where an absence can be more devastating than injury. Characters unconscious from slumber wine can't wake up by any means while the poison lasts, don't need to eat or drink while unconscious in this way, and appear to be recently dead unless an examiner succeeds at a DC 40 Medicine check.",DC 32 Fortitude,1 hour,7 days,unconscious (1 day),unconscious (2 days),unconscious (3 days).,,Alchemical,Consumable,Ingested,Poison,Sleep,,,
Mage Bane,AlchemicalPoison,12,32500,L,b3281c5e-b9ef-11ea-b3de-0242ac130004,3A,Interact,held in 2 hands,Pathfinder #149: Against the Scarlet Triad,"Upon being mixed and injected into the bloodstream, this powder of the crimson orchid quickly assaults the brain and nerves, disrupting the victim's ability to piece together coherent thoughts and spells.",DC 32 Fortitude,,6 rounds,2d6 mental damage and stupefied 2 (1 round),3d6 mental damage and stupefied 3 (1 round),4d6 mental damage and stupefied 4 (1 round),,Uncommon,Alchemical,Consumable,Injury,Poison,,,
Deathcap Powder,AlchemicalPoison,13,45000,L,b3281d30-b9ef-11ea-b3de-0242ac130004,1A,Interact,held in 2 hands,,"The toxic deathcap mushroom can be dried, ground, and treated to form a flavorless powder with accelerated effects.",DC 33 Fortitude,10 minutes,6 minutes,13d6 poison damage (1 minute),17d6 poison damage and sickened 2 (1 minute),20d6 poison damage and sickened 3 (1 minute),,Alchemical,Consumable,Ingested,Poison,,,,
Gorgon's Breath,AlchemicalPoison,13,47500,L,b3281dee-b9ef-11ea-b3de-0242ac130004,1A,Interact,held in 1 hand,Pathfinder #149: Against the Scarlet Triad,Gorgon's breath is a fine powder that can easily enter living creatures' bloodstreams through their lungs before binding to mucous membranes and causing any nearby soft tissues to harden.,DC 32 Fortitude,1 round,6 rounds,slowed 1 (1 round),4d6 bludgeoning damage and slowed 1 (1 round),petrified (1 round),petrified permanently,Uncommon,Alchemical,Consumable,Inhaled,Poison,,,
Purple Worm Venom,AlchemicalPoison,13,50000,L,b3281eac-b9ef-11ea-b3de-0242ac130004,2A,Interact,held in 2 hands,,Venom from enormous purple worms leaves a victim weakened.,DC 32 Fortitude,,6 rounds,5d6 poison damage and enfeebled 2 (1 round),6d6 poison damage and enfeebled 2 (1 round),8d6 poison and enfeebled 2 (1 round),,Alchemical,Consumable,Injury,Poison,,,,
Dragon Bile,AlchemicalPoison,15,92500,L,b3281f88-b9ef-11ea-b3de-0242ac130004,1A,Interact,held in 2 hands,,A mix of digestive juices and green dragon poison glands nauseates the victim as its flesh is digested from within.,DC 37 Fortitude,1 minute,6 rounds,6d6 poison damage and sickened 2 (1 round),7d6 poison damage and sickened 3 (1 round),9d6 poison damage and sickened 4 (1 round),,Alchemical,Consumable,Contact,Poison,,,,
Mindfog Mist,AlchemicalPoison,15,100000,L,b3282136-b9ef-11ea-b3de-0242ac130004,1A,Interact,held in 1 hand,,"Mindfog mist can be used to undermine spellcasters, as its effect on a victim's mental faculties are swift and powerful.",DC 35 Fortitude,1 round,6 rounds,stupefied 2 (1 round),confused and stupefied 3 (1 round),confused and stupefied 4 (1 round),,Alchemical,Consumable,Inhaled,Poison,,,,
Nightmare Vapor,AlchemicalPoison,16,140000,L,b3282208-b9ef-11ea-b3de-0242ac130004,1A,Interact,held in 1 hand,,"Purportedly sourced from any number of outlandish locales, nightmare vapor is most often created by boiling the sweat collected from humanoids caught in the throes of terrible nightmares.",DC 36 Fortitude,1 round,6 rounds,confused (1 round),confused and flat-footed (1 round),"confused, flat-footed, and stupefied 2 (1 round)",,Alchemical,Consumable,Inhaled,Poison,,,,
Weeping Midnight,AlchemicalPoison,16,140000,L,b32822d0-b9ef-11ea-b3de-0242ac130004,3A,Interact,held in 2 hands,Pathfinder #149: Against the Scarlet Triad,"Alchemists have refined the devastatingly allergenic pollen of the widow orchid to create this venom, which swiftly causes the victim's eyes to leak mucus and swell shut.",DC 36 Fortitude,,6 rounds,6d6 poison damage and dazzled (1 round),"7d6 poison damage, dazzled, and sickened 1 (1 round)",8d6 poison damage and blinded (1 round),,Uncommon,Alchemical,Consumable,Injury,Poison,,,
Brimstone Fumes,AlchemicalPoison,16,150000,L,b3282398-b9ef-11ea-b3de-0242ac130004,1A,Interact,held in 1 hand,,Fumes from the forges of Hell drain health and strength alike.,DC 36 Fortitude,1 round,6 rounds,7d6 poison damage and enfeebled 1 (1 round),8d6 poison damage and enfeebled 2 (1 round),10d6 poison damage and enfeebled 3 (1 round),,Alchemical,Consumable,Evil,Inhaled,Poison,,,
Frenzy Oil,AlchemicalPoison,16,150000,L,b3282488-b9ef-11ea-b3de-0242ac130004,1A,Interact,held in 1 hand,Pathfinder #149: Against the Scarlet Triad,"This oil, which is pressed from vrock spores and mixed with a combination of acacia ash and thistle seeds, seeps into the skin of living creatures, initially inspiring irritability that unpredictably manifests as berserk rage.",DC 37 Fortitude,1d6 minutes,6 rounds,"4d6 mental damage, quickened 1, attack nearby creatures as if confused (1 round)","6d6 mental damage, attack nearby creatures as if confused (1 round)","8d6 mental damage, fatigued, attack nearby creatures as if confused (1 round)",,Uncommon,Alchemical,Consumable,Contact,Poison,,,
Hemlock,AlchemicalPoison,17,225000,L,b32825b4-b9ef-11ea-b3de-0242ac130004,1A,Interact,held in 1 hand,,Concentrated hemlock is a particularly deadly toxin that halts muscle action - including that of the victim's heart.,DC 40 Fortitude,0 minutes,60 minutes,17d6 poison damage and enfeebled 2 (10 minutes),21d6 poison damage and enfeebled 3 (10 minutes),26d6 poison damage and enfeebled 4 (10 minutes),,Alchemical,Consumable,Ingested,Poison,,,,
King's Sleep,AlchemicalPoison,18,400000,L,b3282758-b9ef-11ea-b3de-0242ac130004,1A,Interact,held in 1 hand,,King's sleep is an insidious long-term poison that can seem like a disease or even death from natural causes on a venerable target. The drained condition from king's sleep is cumulative with each failed save and can't be removed while the poison lasts.,DC 41 Fortitude,1 day,,drained 1 (1 day),drained 1 (1 day),drained 2 (1 day),,Alchemical,Consumable,Ingested,Poison,Virulent,,,
Black Lotus Extract,AlchemicalPoison,19,650000,L,b328282a-b9ef-11ea-b3de-0242ac130004,1A,Interact,held in 1 hand,,Black lotus extract causes severe internal bleeding.,DC 42 Fortitude,1 minute,6 rounds,15d6 poison damage and drained 1 (1 round),17d6 poison damage and drained 1 (1 round),20d6 poison damage and drained 2 (1 round),,Alchemical,Consumable,Contact,Poison,Virulent,,,
Oblivion Essence,AlchemicalPoison,19,650000,L,b3282960-b9ef-11ea-b3de-0242ac130004,1A,Interact,held in 2 hands,Pathfinder #149: Against the Scarlet Triad,"Created from a daemon's powdered soul gems or refined from the waters of Abaddon's rivers, oblivion essence causes victims to rapidly age and decay.",DC 42 Fortitude,,6 rounds,8d6 poison damage and slowed 1 (1 round),"10d6 poison damage, enfeebled 2, and slowed 1 (1 round)","12d6 poison damage, enfeebled 3, slowed 1 (1 round)",,Uncommon,Alchemical,Consumable,Injury,Poison,,,
Tears of Death,AlchemicalPoison,20,1200000,L,b3282a8c-b9ef-11ea-b3de-0242ac130004,1A,Interact,held in 2 hands,,"Tears of death are among the most powerful of alchemical poisons, distilled from extracts of five other deadly poisons in just the right ratios.",DC 46 Fortitude,1 minute,10 minutes,18d6 poison damage and paralyzed (1 round),25d6 poison damage and paralyzed (1 minute),30d6 poison damage and paralyzed (1 minute),,Alchemical,Consumable,Contact,Poison,Virulent,,,
Nightmare Salt,AlchemicalPoison,20,1400000,L,b3282b86-b9ef-11ea-b3de-0242ac130004,3A,Interact,held in 2 hands,,This potent poison consists of crystals whose flavor and appearance mimics edible salt but whose effects are deadly: victims experience periods of waking nightmares that overload the senses and eventually result in death through a combination of shock and exhaustion.,DC 43 Fortitude,1 hour,5 days,"frightened 2 once every 1d4 hours, plus fatigued (1 day)","confused for 1 minute once every 1d4 hours, plus frightened 3 and fatigued (1 day)","frightened 3, plus confused for 1d4 minutes, once every hour, plus fatigued (1 day)",death,Uncommon,Alchemical,Consumable,Ingested,Poison,,,
